Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status,Phase,District,Male_Electors,Female_Electors,Third_Gender_Electors,Total_Electors
ALIPURDUARS,12,PARITOSH DAS,Bharatiya Janata Party,SUMAN KANJILAL,All India Trinamool Congress,70420,24/24,Result Declared,1,ALIPURDUAR,123903,120423,5,244331
AMDANGA,102,MOHAMMAD KASEM SIDDIQUE,All India Trinamool Congress,ARINDAM DEY,Bharatiya Janata Party,2995,20/20,Result Declared,2,NORTH 24 PARGANAS,115380,105823,4,221207
AMTA,181,AMIT SAMANTA,Bharatiya Janata Party,SUKANTA KUMAR PAUL,All India Trinamool Congress,4454,20/20,Result Declared,2,HOWRAH,132837,124140,5,256982
ARAMBAG,200,BAG HEMANTA,Bharatiya Janata Party,BAG MITA,All India Trinamool Congress,28959,24/24,Result Declared,2,HOOGHLY,128700,124558,2,253260
ASANSOL DAKSHIN,280,AGNIMITRA PAUL,Bharatiya Janata Party,TAPAS BANERJEE,All India Trinamool Congress,40839,15/15,Result Declared,1,PASCHIM BARDHAMAN,122533,116492,5,239030
ASANSOL UTTAR,281,KRISHNENDU MUKHERJEE,Bharatiya Janata Party,MOLOY GHATAK,All India Trinamool Congress,11615,15/15,Result Declared,1,PASCHIM BARDHAMAN,120386,116471,1,236858
ASHOKNAGAR,101,DR. SUMAY HIRA,Bharatiya Janata Party,NARAYAN GOSWAMI,All India Trinamool Congress,9408,21/21,Result Declared,2,NORTH 24 PARGANAS,117314,112185,7,229506
AUSGRAM,273,KALITA MAJI,Bharatiya Janata Party,SHYAMA PRASANNA LOHAR,All India Trinamool Congress,12535,16/16,Result Declared,2,PURBA BARDHAMAN,119363,116644,3,236010
BADURIA,99,BURHANUL MUKADDIM (LITON),All India Trinamool Congress,SUKRITI KUMAR SARKAR,Bharatiya Janata Party,40061,21/21,Result Declared,2,NORTH 24 PARGANAS,122187,113971,4,236162
BAGDA,94,SOMA THAKUR,Bharatiya Janata Party,MADHUPARNA THAKUR,All India Trinamool Congress,34616,23/23,Result Declared,2,NORTH 24 PARGANAS,126236,114747,6,240989
